Year,Country,Region,Visitor_Count,Visitor_Type,Season,Age_Group
2020,France,Europe,1500000,Business,Spring,18-24
2020,France,Europe,2500000,Leisure,Spring,18-24
2020,France,Europe,1800000,Business,Summer,25-34
2020,France,Europe,3000000,Leisure,Summer,25-34
2020,Japan,Asia,1200000,Business,Spring,18-24
2020,Japan,Asia,2000000,Leisure,Spring,18-24
2020,Japan,Asia,1500000,Business,Summer,25-34
2020,Japan,Asia,2500000,Leisure,Summer,25-34
2021,France,Europe,1800000,Business,Spring,18-24
2021,France,Europe,2800000,Leisure,Spring,18-24
2021,France,Europe,2000000,Business,Summer,25-34
2021,France,Europe,3200000,Leisure,Summer,25-34
2021,Japan,Asia,1400000,Business,Spring,18-24
2021,Japan,Asia,2200000,Leisure,Spring,18-24
2021,Japan,Asia,1700000,Business,Summer,25-34
2021,Japan,Asia,2700000,Leisure,Summer,25-34
2022,France,Europe,2000000,Business,Spring,18-24
2022,France,Europe,3000000,Leisure,Spring,18-24
2022,France,Europe,2200000,Business,Summer,25-34
2022,France,Europe,3400000,Leisure,Summer,25-34
2022,Japan,Asia,1600000,Business,Spring,18-24
2022,Japan,Asia,2400000,Leisure,Spring,18-24
2022,Japan,Asia,1900000,Business,Summer,25-34
2022,Japan,Asia,2900000,Leisure,Summer,25-34
2023,France,Europe,2200000,Business,Spring,18-24
2023,France,Europe,3200000,Leisure,Spring,18-24
2023,France,Europe,2400000,Business,Summer,25-34
2023,France,Europe,3600000,Leisure,Summer,25-34
2023,Japan,Asia,1800000,Business,Spring,18-24
2023,Japan,Asia,2600000,Leisure,Spring,18-24
2023,Japan,Asia,2100000,Business,Summer,25-34
2023,Japan,Asia,3100000,Leisure,Summer,25-34 
